genotype	rep	gene	p0	p3	p5	p7	p10	p14	p21
khom	1	Prdm1	6.0985	5.367448 	5.45879 	5.899863 	7.40922 		
khom	2	Prdm1	5.6486	5.547976 	5.84122 	5.619021 	8.01418 		
khom	3	Prdm1	6.0890	5.418938 	5.37948 	5.647780 	7.67455 		
khom	4	Prdm1	5.8626	5.986807 	4.86878 	5.288753 	7.60560 		
khom	5	Prdm1		5.51860 	5.32102 	5.50556 			
khom	6	Prdm1		4.54627 	5.12374 	5.96464 			
khom	7	Prdm1				6.321326 			
khom	8	Prdm1				6.400458 			
khom	9	Prdm1				6.311210 			
khom	10	Prdm1				6.081884 			
wt	1	Otx2	6.0993	4.51643 	5.292368 	3.660630 	6.719085 	5.48264 	
wt	2	Otx2	6.0578	4.73777 	4.140361 	4.585918 	7.441693 	6.36136 	
wt	3	Otx2	5.5480	4.83342 	4.408402 	2.866596 	6.168059 	6.62350 	
wt	4	Otx2	5.4306	4.29876 	3.488873 	4.176133 	6.699763 	7.15352 	
wt	5	Otx2			3.21065 		5.79195 		
wt	6	Otx2			3.72631 		7.40171 		7.39302 
wt	7	Otx2			3.96120 				6.53038 
ehet	1	Otx2	6.4989	6.281964 	4.513554 	4.055876 	7.049477 	7.47571 	
ehet	2	Otx2	6.1691	7.117048 	5.857850 	4.543331 	6.871498 	6.91350 	
ehet	3	Otx2	5.8222	6.108401 		4.645540 	7.054801 	8.17691 	
ehet	4	Otx2	7.4757	6.509591 	3.752224 	2.802152 	7.213845 	8.16696 	
ehet	5	Otx2		7.97676 	5.05050 				
ehet	6	Otx2		6.02110 	5.08605 				
ehom	1	Otx2	6.8457	8.365260 	4.919038 	4.332744 		8.64260 	
ehom	2	Otx2	5.8691	6.165722 	4.986839 	4.123645 	6.271176 	6.08580 	
ehom	3	Otx2	5.7150	5.902484 	3.373910 	4.349285 	6.319670 	7.07543 	
ehom	4	Otx2	6.0174	6.519202 	4.040109 	4.540216 	6.001225 	8.28573 	
ehom	5	Otx2		5.74214 	5.75510 				
ehom	6	Otx2		5.70287 	5.68306 				
khet	1	Otx2	4.9179	4.075952 	3.71175 	6.21402 	5.194426 	5.950005 	
khet	2	Otx2	5.2506	3.967498 	4.19832 	5.48693 	6.003169 	5.414704 	
khet	3	Otx2	5.2574			5.541267 	4.984800 	6.211539 	
khet	4	Otx2	6.3731	4.111815 	3.71597 	4.800912 	4.777137 	6.670295 	
khet	5	Otx2		5.52372 		3.779577 	5.07518 		
khet	6	Otx2		6.28172 		4.025630 	4.73715 		
khom	1	Otx2	5.1044	3.052857 	2.83842 	4.279138 	5.409392 	6.377312 	
khom	2	Otx2	6.1091	3.777374 	3.19449 		5.637458 	5.799151 	
khom	3	Otx2	5.1728	3.897724 	3.09368 		5.069268 	6.350200 	
khom	4	Otx2	5.5338	4.265929 	3.78135 	3.966477 	5.087603 	6.230318 	
khom	5	Otx2		4.33463 	4.60299 	3.584111 	6.45290 		
khom	6	Otx2		4.66063 	4.05256 	4.394486 			
khom	7	Otx2				3.646495 			
khom	8	Otx2							
khom	9	Otx2							
khom	10	Otx2							
wt	1	Gnat1		14.03675 	11.9421	8.85803003	7.05665597	2.9835434	1.295772122
wt	2	Gnat1		15.69835 	11.6862	9.068762771	7.180171361	1.916634825	1.048503014
wt	3	Gnat1		15.92974 	12.7565	8.967826839	7.057558729	2.342458792	1.203838654
wt	4	Gnat1		14.13686 	11.1874	8.999636125	6.808653867	2.331932459	1.167467051
wt	5	Gnat1			9.7006				1.294117 
wt	6	Gnat1			10.7899				1.12019 
wt	7	Gnat1			10.9415				0.97676 
ehet	1	Gnat1		12.45623 	10.2402		4.348701655	1.961828355	1.754380503
ehet	2	Gnat1		13.06498 	11.1363	7.50348507	4.187404458	2.591510928	1.639018309
ehet	3	Gnat1		13.37815 	12.0337	8.16645172	4.708884077	2.126261374	1.464815674
ehet	4	Gnat1		12.49526 	10.6459	8.148156558	4.359377534	2.277190 	1.450968919
ehet	5	Gnat1							
ehet	6	Gnat1							
ehom	1	Gnat1		12.79516 	9.50887 	7.772657642	3.608044422	2.683350745	3.10297476
ehom	2	Gnat1		14.71079 	10.00207 	7.638061649	3.663215819	2.022276635	2.699269261
ehom	3	Gnat1		14.10653 	9.55470 	8.02297172	3.374265266	2.759586548	3.221369285
ehom	4	Gnat1		15.17166 	9.29976 	7.780521296	3.023253624	3.164009902	2.938481018
ehom	5	Gnat1							
ehom	6	Gnat1							
khet	1	Gnat1		12.685837 	11.14521 		10.72761919	8.899638213	8.773828423
khet	2	Gnat1		12.845907 	12.37971 		11.37339051	9.722281943	8.512112005
khet	3	Gnat1		12.755757 		11.04668 	10.4747938	10.5012739	8.787732287
khet	4	Gnat1		13.815903 	11.16170 	10.67059 	10.57117915	10.6986448	7.248799051
khet	5	Gnat1							
khet	6	Gnat1							
khom	1	Gnat1		14.536235 	13.22268 	13.39062971	13.35841131	15.8357219	16.14823075
khom	2	Gnat1		14.780907 	13.15345 	13.98139645	14.81498155	15.17221853	15.561967
khom	3	Gnat1		14.736083 	13.10326 	14.85187102	14.05284341	15.42215482	16.89009142
khom	4	Gnat1		15.011814 	14.15062 	14.35284448	15.568487	16.5335214	16.84051703
khom	5	Gnat1							
khom	6	Gnat1							
khom	7	Gnat1				14.4997354			
khom	8	Gnat1				14.68817888			
khom	9	Gnat1				14.60637169			
khom	10	Gnat1				14.5440004			
wt	1	Rxrg	10.33953	10.00647 	11.67199 	11.80057 	12.37576 	11.64755 	
wt	2	Rxrg	9.68206	10.52677 	9.91777 	10.21514 	13.60635 	11.60865 	
wt	3	Rxrg	9.78401	10.87575 	10.53760 	10.67689 	11.97492 	11.72717 	
wt	4	Rxrg	9.31396	9.98743 	8.98572 	10.64807 	11.93503 	11.38545 	
wt	5	Rxrg			8.62135 				
wt	6	Rxrg			9.17766 				11.14057 
wt	7	Rxrg			10.15823 				10.49636 
ehet	1	Rxrg	10.99564	11.327402 	9.78217 	9.414308 			
ehet	2	Rxrg	10.64221	13.227690 	12.02204 	9.550665 			
ehet	3	Rxrg	9.77872	10.869808 	12.62265 	9.866736 			
ehet	4	Rxrg	12.05234	11.507971 	9.11741 	9.915250 			
ehet	5	Rxrg				9.214629 			
ehet	6	Rxrg							
ehom	1	Rxrg	11.40134	14.658961 	9.46347 	9.728295 			
ehom	2	Rxrg	10.18861	11.520070 	10.57117 	9.440968 			
ehom	3	Rxrg	10.37231	11.610209 	8.54244 	9.329080 			
ehom	4	Rxrg	11.45514	11.022973 	9.48243 	9.364383 			
ehom	5	Rxrg							
ehom	6	Rxrg							
khet	1	Rxrg	8.70891 	8.405808 	8.26056 		7.415314 	7.748902 	
khet	2	Rxrg	8.98472 	8.713875 	9.40807 		7.431603 	7.686225 	
khet	3	Rxrg	8.75736 	11.251959 		8.330955 	7.004746 	8.579659 	
khet	4	Rxrg	9.06209 	9.392005 	8.56956 	8.361118 	6.937889 	8.634195 	
khet	5	Rxrg							
khet	6	Rxrg							
khom	1	Rxrg	10.00971 	8.655051 	9.48108 	7.876265 	8.415606 	10.57242 	
khom	2	Rxrg	11.79794 	9.238304 	8.84754 	7.535042 	8.423508 	9.99057 	
khom	3	Rxrg	9.86489 	8.806733 	8.23498 	7.473048 	8.488328 	10.24677 	
khom	4	Rxrg	9.77989 	9.067738 	7.46853 	7.763974 	8.628482 	9.96251 	
khom	5	Rxrg							
khom	6	Rxrg							
khom	7	Rxrg				7.941287 			
khom	8	Rxrg				7.964431 			
khom	9	Rxrg				7.808865 			
khom	10	Rxrg				7.727686 			
wt	1	Thrb	11.19180	11.71025 	12.18487 	10.93312 	11.00931 	10.00603 	
wt	2	Thrb	11.37691	11.43872 	12.35728 	10.59447 	10.78549 	9.55761 	
wt	3	Thrb	10.51430	11.10286 	11.28769 	10.55724 	10.58909 	9.87600 	
wt	4	Thrb	11.34003	11.88353 	10.53169 	10.48702 	11.15676 	10.01860 	
wt	5	Thrb			10.07127 				
wt	6	Thrb			10.83412 				10.62963 
wt	7	Thrb			10.81413 				9.93504 
ehet	1	Thrb	12.05365	11.710135 	10.97068 	10.16071 			
ehet	2	Thrb	11.87450	12.187313 	12.25429 	10.82571 			
ehet	3	Thrb	11.15034	11.952282 	12.01293 	10.45966 			
